root,w,via,jp,r,note,p
gwei,amphibian,Gr,両生類の,1007,ギリシャ語で「両方の生を生きるもの」。水と陸の二つの暮らしを持つ生き物である。,ambhi+gwei-
gwei,victuals,L,飲食物,1008,ラテン語の「生きるための糧」から。綴りは残ったが、発音は「ヴィトルズ」に縮んだ。,gwei-
gwei,biome,Gr,生物群系,1012,ギリシャ語 bios(生命)+ -ome から。biology や quick(もとは「生きた」)と同じ「生きる」語である。,gwei-
gwei,diazepam,Gr,ジアゼパム,1014,「二つの窒素を持つ環」から作られた化学名。dwo(二)の語が頭に入っている。,dwo-+ne+gwei-+septm̥
gwei,quicksand,G,流砂,1018,quick(生きた・動く)+ sand(砂)から。quick はもとは「生きている」の意で、動く砂という名である。,gwei-
gwei,Protozoa,Gr,原生動物,1022,ギリシャ語で「最初の動物」。単細胞の生き物を、動物の始まりと見た分類名である。,per1+gwei-
gwei,zoology,Gr,動物学,1025,ギリシャ語で「生き物の学」。zoo(動物園)はこの語を縮めたものである。,gwei-+leg-
gwei,Cenozoic,Gr,新生代の,1026,ギリシャ語で「新しい生きもの」。哺乳類が広がった、いまに続く時代の名である。,ken-2+gwei-
gwei,zoological,Gr,動物学の,1027,「生き物の学の」。zoology と同じく、zoo(動物園)の元になった語である。,gwei-+leg-
gwei,viva,L,万歳,1053,イタリア語・スペイン語の「生きよ」。vivid と同じ語である。,gwei-
gwei,quicksilver,G,水銀,1063,「生きている銀」。転がって止まらない水銀を、生きていると見た。,gwei-
gwei,wyvern,L,ワイバン,1113,ラテン語 vipera(まむし)から。viper と同じ語である。,gwei-+perə-1
gwei,vivisection,L,生体解剖,1116,ラテン語の「生きた」と「切る」。vivid と同じ語をふくむ。,gwei-+sek-
gwei,Proterozoic,Gr,原生代,1117,ギリシャ語で「より前の生命」。地質時代の名である。,per1+gwei-
gwei,macrobiotic,Gr,マクロビオティックの,1146,ギリシャ語の「長い」と「生命」。長生きの法、という名。,gwei-
gwei,viviparous,L,胎生の,1158,ラテン語の「生きて産む」。vivid と同じ「生きる」語。,gwei-+perə-1
gwei,Phanerozoic,Gr,顕生代,1185,ギリシャ語で「見える生き物の時代」。化石の見つかる地質時代を指す。,bhā-1+gwei-
gwei,azotemia,,窒素血症,1186,azote(窒素)と -emia(血)から。1894年ごろにできた語。,gwei-+ne
gwei,epizootic,Gr,動物流行病,1210,ギリシャ語で「動物のあいだに広がる」。epidemic の動物版である。,gwei-+epi
gwei,bioturbation,L,バイオターベーション,1227,bio-(生き物)と turbation(かき乱すこと)から。turbulence と同じ語。,gwei-+(s)twer-1
gwei,diazo,Gr,ジアゾ基を持つ,1229,di-(2つ)と azo(窒素)から。窒素が二つ並んだ基を指す。,dwo-+gwei-
gwei,victual,L,飲食物,1243,ラテン語 victus(暮らし、食べ物)から。vital と同じ「生きる」語である。,gwei-
gwei,vivify,L,生気を与える,1280,ラテン語で「生かす」。vivid や vital と同じ「生きる」語である。,dhē-+gwei-
gwei,rhizobium,Gr,根粒菌,1292,ギリシャ語 rhiza(根)と bios(いのち)から。根に住む菌。,wrād-+gwei-
gwei,zoic,Gr,動物の,1310,ギリシャ語 zoion(動物)から。zoo と同じ「生きる」語である。,gwei-
gwei,bionics,,生体工学,1313,bio-(いのち)と electronics を合わせた造語。,gwei-
gwei,vivace,L,ビバーチェ,1319,イタリア語で「生き生きと」。vivid や vital と同じ「生きる」語である。,gwei-
gwei,abiogenesis,L,自然発生(説),1338,ギリシャ語で「いのちなしに生じること」。bio と genesis の語から。,gwei-
gwei,vivarium,L,飼育場,1346,ラテン語で「生き物を飼う所」。vivid や vital と同じ語である。,gwei-
gwei,zoon,Gr,子虫,1365,ギリシャ語 zoion(生き物)から。zoo と同じ「生きる」語である。,gwei-
gwei,zoetrope,Gr,回転のぞき絵,1387,ギリシャ語で「いのちの回転」。zoe(いのち)と trope(回り)から。,gwei-+trep-2
gwei,aerobe,Gr,好気性生物,1401,ギリシャ語 aer(空気)と bios(命)から。air と同じ語で、bios は vivid や quick と同じ「生きる」語である。,wer-2+gwei-
gwei,couch grass,L,シバムギ,1447,quitch grass の変形。quitch は quick と同じ語で、たくましく生きる草の意である。,gwei-
gwei,viand,L,ご馳走,1467,ラテン語 vivenda(生きるためのもの)から。vivid や victual と同じ「生きる」語である。,gwei-
gwei,azoic,Gr,無生代の,1468,ギリシャ語 a-(なし)と zoe(命)から。zoo や quick と同じ「生きる」語である。,gwei-+ne
gwei,zoophilia,Gr,動物性愛,1477,ギリシャ語 zoon(生き物)と philia(愛)から。zoo は quick や vivid と同じ「生きる」語である。,gwei-
gwei,usquebaugh,L,ウイスキー,1482,ゲール語で「命の水」。これが縮まって whisky になった。,wed-1+gwei-
gwei,hylozoism,Gr,物活論,1529,ギリシャ語で「物質に生命が宿る説」。素材を意味する語と、生命の語からできている。,hūlē+gwei-
gwei,cenobite,Gr,修道士,1576,ギリシャ語 koinos(共通)と bios(命)から。common と vivid と同じ語である。,gwei-+kom
gwei,dendrobium,Gr,デンドロビウム,1579,ギリシャ語 dendron(木)と bios(命)から。rhododendron と vivid と同じ語である。,deru-+gwei-
gwei,weever,L,スズキ目魚類,1593,古フランス語 wivre(蛇)から。ラテン語 vipera(まむし)で、viper や viviparous と同じ語である。,gwei-+perə-1
gwei,epizoic,Gr,体外寄生の,1598,ギリシャ語 epi(上に)と zoon(生き物)から。zoo や quick と同じ「生きる」語である。,gwei-
gwei,saprobe,Gr,腐生菌,1613,ギリシャ語 sapros(腐った)と bios(命)から。sapro- と vivid と同じ語である。,gwei-
gwei,anabiosis,Gr,蘇生,1629,ギリシャ語 ana(再び)と biosis(生きること)から。bios は vivid や quick と同じ語である。,gwei-
gwei,protozoic,Gr,原生代の、原生動物の,1684,ギリシャ語 protos(最初の)と zoe(命)から。proto- と zoo を合わせた語である。,gwei-+per1
gwei,azoth,L,水銀,1697,アラビア語 al-zauq(水銀)から。錬金術の三原質のひとつをいう語である。,gwei-
gwei,sempervivum,L,センペルビブム,1699,ラテン語 semper(常に)と vivus(生きた)から。same と vivid を合わせた語である。,sem-1+per1+gwei-
gwei,zoophobia,Gr,動物恐怖症,1707,ギリシャ語 zoon(生き物)と phobos(恐れ)から。zoo と phobia を合わせた語である。,gwei-
gwei,zoolatry,L,動物崇拝,1748,ギリシャ語 zoon(生き物)と latreia(崇拝)から。zoo と idolatry と同じ語である。,gwei-
gwei,biostrome,Gr,層状生礁,1823,ギリシャ語 bios(生命)+ strōma(敷きもの)から。後半は street や structure と同じ「広げる」語である。,gwei-+sterə-
gwei,zooglea,Gr,塊状バクテリア,1974,ギリシャ語 zōion(生きもの)+ gloia(にかわ)から。後半は glue(にかわ)や clay と同じ「粘る」語である。,gwei-+glei-
gwei,epizoon,Gr,体外寄生動物,2038,ギリシャ語 epi-(上に)+ zōion(動物)から。zoo(動物園)や quick(もとは「生きた」)と同じ「生きる」語である。,gwei-+epi
gwei,quitch grass,G,シバムギ,2044,古英語 cwice(生き生きした)から。しぶとく生える雑草の名で、quick(もとは「生きた」)と同じ語である。,gwei-
oino,a,G,一つの,1,もとは one。an の n が子音の前で消えて a になった。,oi-no-
oino,an,G,一つの,1,a より古い、もとの形。古英語では「一つ」そのものだった。,oi-no-
oino,one,G,一つ,1,発音は本来「オーン」。only や alone に昔の音が残っている。,oi-no-
oino,only,G,唯一の,5,中身は one + like で「一つのような」。one の古い発音を今も残す。,oi-no-
oino,any,G,どんな〜でも,32,中身は one + y で「一つばかりの」。どんな一つでも、が出発点。,oi-no-
oino,another,G,別の,121,an + other が縮まった語。もとは「二つのうちの二つめ」。,oi-no-+al-1
oino,once,G,一度、かつて,191,one に副詞の -s がついた形。-ce の綴りは s の音を守るため。,oi-no-
oino,someone,G,だれか,237,もとは some one と二語だった。一語で書かれ出すのは19世紀半ば。,sem-1+oi-no-
oino,alone,G,ひとりで,263,all one(まったくひとり)の縮まった形。one の古い発音がここに残る。,al-5+oi-no-
oino,everyone,G,みんな,292,every は ever(いつも)+each(それぞれ)。それに one を足した語。,aiw-+līk-+oi-no-
oino,unit,L,単位、部隊,366,digit に似せて unity を作り変えた語。ユークリッド英訳で広まった。,oi-no-
oino,none,G,何ひとつない,381,ne(ない)+one(一つ)の合成。これが縮んで no になった。,ne+oi-no-
oino,unique,L,唯一の,385,原義は「ただ一つの」。「珍しい」の意味は19世紀の誤用から広まった。,oi-no-
oino,university,L,大学,434,原義はただの「団体」。「教師と学生の団体」を縮めた呼び名。,oi-no-
oino,anyway,G,とにかく,447,1830年代までは any way と、二語に分けて書かれていた。,oi-no-+wegh-
oino,universal,L,普遍的な,451,語源は「ひとつに向き直った」。全部が同じ方を向く姿。,oi-no-+wer-3
oino,universe,L,宇宙,470,unus(一つ)+vertere(向ける)で「ひとつに転じたもの」が原義。,oi-no-+wer-3
oino,anywhere,G,どこでも,475,14世紀末に any と where がくっついた新顔。古くは owhere。,oi-no-+kʷo-
oino,union,L,結合、組合,477,ラテン語 unio は「一粒の真珠」、そして「玉ねぎ」も指した。,oi-no-
oino,uniform,L,制服、一様な,482,「形が一つ」が原義。衣服を指すのは1748年、軍服から始まった。,oi-no-+merph-
oino,inch,L,インチ,495,もとはラテン語の「12分の1」。1フィートの12分の1だからこの名。,oi-no-
oino,unity,L,統一,509,もとは神学の語で、三位一体の「一つ」を指していた。,oi-no-
oino,nobody,G,だれも…ない、取るに足りない人,516,「取るに足りない人」の意は1580年代から。昔は二語で書いた。,ne+oi-no-
oino,eleven,G,11,563,語源は「ひとつ残る」。十を取り去ってなお一つ余る、の意。,oi-no-+leikʷ-
oino,lonely,G,孤独の,579,1600年ごろは「ひとりの」だけの意。寂しさを帯びたのは1811年から。,oi-no-
oino,onion,L,タマネギ,628,ラテン語の「一つ」から。ニンニクと違い、層が重なって一つだから。,oi-no-
oino,nonlinear,L,非線形の,637,line の語根は「亜麻の糸」。麻ひもが「線」になった。,ne+lī̆no-+oi-no-
oino,nonsense,G,無意味な言葉,642,20世紀半ばから、ばかげた意でない場合はnon-senseと書き分ける。,ne+sent-+oi-no-
oino,null,L,無効の,657,中身は「一つもない」。ne「ない」と unus「一」からできた語。,ne+oi-no-
oino,ounce,L,オンス,679,ラテン語 uncia「12分の1」から。同じ語が inch にもなった。,oi-no-
oino,universally,L,普遍的に,681,語根は「一つ」+「回す」。すべてを一つに向けたのが universe。,oi-no-+wer-3
oino,lone,G,ひとりの,692,alone を縮めた語。もとは「まったく一つ」の意味だった。,oi-no-
oino,nonprofit,L,非営利の,702,non-(打ち消し)+ profit(利益)から。profit はラテン語 pro-(前へ)+ facere(なす)で、fact と同じ語である。,ne+per1+dhē-+oi-no-
oino,unite,L,結合する,705,語根は「一」。eleven は「十を取って一余る」から出た語。,oi-no-
oino,unilateral,L,一方的な,709,「片側だけ」が原義。法律で「一方だけが結ぶ」意に使ったのはベンサムらしい。,oi-no-
oino,anytime,G,いつでも,714,1語に固まったのは1854年ごろ。それまでは離して書いていた。,oi-no-+dā-
oino,uniformity,L,統一性,738,「同じ形」の意。単調でうんざりする含みは1700年ごろから。,oi-no-+merph-
oino,Angus,Ce,アンガス,740,古アイルランド語で「唯一の力」。牛の名になったのは1842年。,oi-no-+geus-
oino,unison,L,調和,742,もとは音楽の「同じ高さの音」。心が合う意は1640年代から。,oi-no-+swen-
oino,une,L,結合する,761,1400年ごろの語。ラテン語 unire「一つにする」がそのまま。,oi-no-
oino,reunion,L,再結合,764,もとは単に再び集まること。昔の仲間の集いの意は1820年から。,re-+oi-no-
oino,unification,L,統合,775,1849年に動詞 unify から作られた、意外に新しい語。,oi-no-+dhē-
oino,anyhow,G,どうせ,788,中身は any + how。1900年には any old how という強調形も。,oi-no-+kʷo-
oino,unanimous,L,満場一致の,792,直訳は「心が一つ」。その「心」は元をたどれば「息」を表す語。,oi-no-+anə-
oino,unicorn,L,一角獣,868,プリニウスいわく、馬の体に鹿の頭、象の足、獅子の尾を持つ。,oi-no-+ker-1
oino,unify,L,統一する,870,直訳は「一つに作る」。語尾 -fy は fact と同じ「作る」。,oi-no-+dhē-
oino,nonfiction,L,ノンフィクション,877,fiction の語根は「こねて形づくる」。こねていないほうがこの語。,ne+dheigh-+oi-no-
oino,no,G,一つも〜ない,884,「いいえ」の no とは別語。none が縮んだ形。ne＋one で「一つも無い」が中身。,ne+oi-no-
oino,unanimity,L,一致,918,ラテン語 unanimus は「心がひとつ」。一つ+息(animus)の形。,oi-no-+anə-
oino,noncompliance,L,不従順,920,語根は「満たす」。求めを満たさないことが「不従順」。,ne+kom+pelə-1+oi-no-
oino,atone,L,償う,929,at と one がくっついた語。one の古い発音がこの語にだけ残っている。,ad-+oi-no-
oino,nondescript,L,特徴がない,929,元は学術用語で「まだ記載されていない」の意。転じて平凡を指すようになった。,ne+de-+skrībh-+oi-no-
oino,nonchalant,L,無関心な,930,中身は「熱くならない」。calorie と同じ「熱」が隠れている。,ne+kelə-1+oi-no-
oino,apiece,G,各個に,935,もとは硬貨や商品の値を言う「a piece」。それが縮まって一語に。,oi-no-+kʷezd-
oino,anon,G,すぐに,940,「一つに」が原義で、本来は「即座に」。使われるうちに「そのうち」へずれた。,an-+oi-no-
oino,nullify,L,無効にする,983,直訳は「無にする」。null は ne と one が合わさった「一つもない」。,ne+oi-no-+dhē-
oino,triune,L,三者一体の,983,tri(三)+unus(一)をつないだだけの語。1630年代に作られた。,trei-+oi-no-
oino,nonchalance,L,無関心,986,語の中身は「熱くならない」。心が動かない様子をそのまま表す。,ne+kelə-1+oi-no-
oino,annul,L,無効にする,1003,ラテン語で「無に帰す」。null(無効)と同じ語からできている。,ad-+ne+oi-no-
oino,noncommittal,L,言質を与えない,1018,「身を預けない」。commit は「委ねる」で、それをしないという組み立てである。,ne+kom+mittere+oi-no-
oino,nonpartisan,L,党派心のない,1041,non-(打ち消し)+ partisan(党派の人)から。イタリア語 partigiano、ラテン語 pars(部分)で、part と同じ語である。,ne+perə-2+oi-no-
oino,nonce,G,その場限りの,1042,then anes(その一度)の区切りを間違えて生まれた語である。,oi-no-+to-
oino,unary,L,単項の,1062,ラテン語 unus(一)から。unit や one と同じ「一」の語である。,oi-no-
oino,Unicode,L,ユニコード,1089,uni-(ひとつ)と code の合成。万国共通の文字コードである。,oi-no-
oino,nondeterministic,L,非決定論の,1128,determine の否定形。determine は「境を決める」が元。,ne+de-+ter-+oi-no-
oino,nonentity,L,取るに足りない人,1150,entity(存在)の否定。entity は「あること」が元である。,ne+es-+oi-no-
oino,nonsectarian,L,無党派の,1219,non-(〜でない)と sectarian(宗派の)から。sect と同じ「従う」語。,ne+sekʷ-1+oi-no-
oino,Uniate,Sl,合同教会派,1240,ロシア語 uniyat(合同派)から。ラテン語 unus(一)で、one と同じ語。,oi-no-
oino,einkorn,G,ヒトツブコムギ,1271,ドイツ語で「ひと粒」。ein(1つ)と Korn(穀粒)から、one と corn の語。,oi-no-+gr̥ə-no-
oino,quincunx,L,五つ目型,1296,ラテン語で「12分の5」。もとは硬貨の単位で、その刻印の五つの点の並びが名になった。,oi-no-+penkʷe
oino,uncial,L,アンシアル書体,1309,ラテン語 uncia(12分の1)から。ounce や inch と同じ語である。,oi-no-
oino,nonpareil,L,比類ない,1311,フランス語で「並ぶものがない」。non-(〜でない)と pareil(等しい)から。,ne+perə-2+oi-no-
oino,nonsuit,L,訴えの却下,1317,non-(〜でない)と suit(訴え)から。訴えを退けること。,ne+oi-no-+sekʷ-1
oino,nonblocking,L,無閉塞,1341,non-(〜でない)と blocking から。詰まりのないことをいう。,ne+oi-no-
oino,Non-functional,L,非関数の,1350,non-(〜でない)と functional から。はたらきを持たないこと。,ne+bheug-2+oi-no-
oino,nonplused,L,当惑した,1435,ラテン語 non plus(これ以上ない)から。plus は plural や full と同じ「満たす」語である。,ne+pelə-1+oi-no-
oino,nonplus,L,途方に暮れること,1479,ラテン語 non plus(これ以上ない)から。plus は plural や full と同じ「満たす」語である。,ne+oi-no-+pelə-1
oino,nonjuror,L,宣誓拒否者,1545,non- とラテン語 jurare(誓う)から。jury や just と同じ「法」の語である。,ne+yewes-+oi-no-
oino,nullipara,L,未産婦,1551,ラテン語 nullus(ひとつもない)と parere(産む)から。null と parent を合わせた語である。,ne+oi-no-+perə-1
oino,nonuniversality,L,非普遍性,1648,non-(否定)と universality から。universe はラテン語 unus(1)と vertere(向く)による語である。,ne+oi-no-+wer-3
oino,zollverein,G,関税同盟,1755,ドイツ語 Zoll(関税)+ Verein(同盟)から。Zoll は英語 toll(通行料)と同じ語である。,oi-no-
oino,coadunate,L,癒合した,1765,ラテン語 coadunare(一つにまとめる)から。com-(共に)+ ad(…へ)+ unus(一)で、unite と同じ「一」の語である。,kom+ad-+oi-no-
oino,turnverein,G,体操協会,1790,ドイツ語 turnen(体操する)+ Verein(協会)から。Verein は ein(一)を含み、one と同じ「一」の語である。,oi-no-+per1
oino,nonrecursively,L,帰納的でなく,1849,non-(打ち消し)+ recursive から。ラテン語 currere(走る)にさかのぼり、current や occur と同じ「走る」語である。,ne+re-+kers-2+oi-no-
oino,indricothere,Gr,インドリコテリウム,2129,ロシア語 indrik(伝説の一角獣)+ ギリシャ語 thērion(獣)から。後半は treacle と同じ「野獣」の語である。,oi-no-+ghwer-
reg,right,G,正しい、右、権利,83,原義は「まっすぐ、正しい」。方角の「右」は正しい手の側から。,reg-
reg,rights,G,権利,255,語根は「まっすぐ」。まっすぐが「正しい」になり、やがて「権利」になった。,reg-
reg,source,L,源,299,原義は「泉が湧き上がるところ」。sub(下から)+regere(導く)。,upo+reg-
reg,direction,L,方向、指示,312,原義は「まっすぐ整えること」。方角を指すのは17世紀から。,dwis-+reg-
reg,direct,L,導く、直接の,318,dis-(離れて)+regere(まっすぐ導く)で、まっすぐ差し向けること。,dwis-+reg-
reg,region,L,地域、部位,320,語根は「まっすぐ導く・支配する」。線で区切った統治の範囲が原義。,reg-
reg,rule,L,規則、定規,324,ラテン語 regula は「まっすぐな棒」。定規と規則は同じ語だった。,reg-
reg,correct,L,正しい,333,もとは罰して正すこと。曲がったものをまっすぐにする、が原義。,kom+reg-
reg,address,L,住所、演説,341,原義は「まっすぐ向ける」。ゴルフのアドレスに古い意味が残る。,ad-+reg-
reg,rich,G,金持ちの、濃厚な,374,古英語では「強い、身分が高い」。ケルト語の「王」からの借用語。,reg-
reg,regular,L,定期的な,403,最初は「修道会の戒律に従う」の意。語源はまっすぐな木の棒。,reg-
reg,Richard,G,リチャード,405,古高ドイツ語で「統治に強い」の意。愛称形が Rick になった。,reg-+kar-
reg,dress,L,ドレス,409,原義は「まっすぐにする」。服を着せる意味は14世紀末から。,de-+reg-
reg,regional,L,地域の,422,region の祖先は「まっすぐ導く」。王の regal も同じ一族。,reg-
reg,resource,L,資源、機転,435,原義は「もう一度立ち上がる」。尽きても湧き直すものが資源。,re-+upo+reg-
reg,regulation,L,規則,439,もとは「整えること」という行為。「規則」の意は1715年から。,reg-
reg,regime,L,政権,464,15世紀には「食事や運動の養生法」を指す語だった。,reg-
reg,director,L,監督、取締役,472,最初はただの「案内人」。映画や舞台の「監督」の意は1911年から。,dwis-+reg-
reg,regulatory,L,規制する,492,語根は「まっすぐ」。定規で引く直線が規則のもと。,reg-
reg,royal,L,王の,493,米語では1940年代から「ひどい」の強め言葉にもなった。,reg-
reg,regularly,L,定期的に,497,語源は「ものさし」。定規どおりに揃っているのが規則正しい。,reg-+-lo-
reg,realm,L,領域、王国,520,中英語では reaume。「王の統べる国」が原義だった。,reg-
reg,correctly,L,正しく,532,語根は「まっすぐ」。まっすぐに直すことが「正しい」だった。,kom+reg-
reg,indirect,L,間接的な,546,direct は「まっすぐ導く」。in- が付いて「遠回りの」になった。,ne+dwis-+reg-
reg,copyright,L,著作権,556,copy の語根は「たくさん生み出す」。豊かさが写しの語になった。,kom+op-+reg-
reg,Eric,G,エリック,557,古ノルド語で「誉れある支配者」。名前の中に「王」がいる。,reg-
reg,reign,L,統治,561,もとは「王国」そのもの。在位期間を指す用法は後から出た。,reg-
reg,ruling,L,裁定,562,判事の下す裁定も、紙に引く罫線も、同じrulingという語。,reg-
reg,dressing,L,ドレッシング,568,もとは「整えること」。料理のソースを指すのは1500年ごろから。,reg-+dwis-
reg,alert,L,用心深い,571,もとはイタリア語の「物見の塔へ」。見張りの掛け声だった。,al-1+eghs+reg-+ad-
reg,regulate,L,規制する,575,語源は「まっすぐな木の棒」＝定規。定規に合わせるのが規制。,reg-
reg,Roy,L,ロイ,594,人名。語根は「王」。royal と同じ語根から来た名前。,reg-
reg,correction,L,訂正,598,中身は「まっすぐに直す」。昔は罰で正すことまで含んだ。,kom+reg-
reg,upright,G,直立した,598,「正直な」の意味は14世紀末。upright man は盗賊の頭を指した。,upo+reg-
reg,rail,L,レール,599,もとは木の横木。金属のレールを指すのは1830年代から。,reg-
reg,indirectly,L,間接的に,604,中身は「まっすぐ」の否定。まっすぐ行かないから間接的。,ne+dwis-+reg-
reg,incorrect,L,正しくない,605,15世紀は「罰されず改まらない」の意。「誤り」は1750年代。,ne+kom+reg-
reg,Frederick,L,フレデリック,606,「平和」+「支配」で平和の統治者。afraid の後半と同じ語。,prī-+reg-
reg,righteous,G,正義の,612,古くは rightwise。語尾が courteous につられて -eous に化けた。,reg-+weid-
reg,irregular,L,不規則な,617,最初は「教会の規則に反する」こと。14世紀の宗教用語だった。,ne+reg-+-lo-
reg,surge,L,押し寄せる,657,最初は「泉、湧き出る水」。大波の意味は1520年代から。,upo+reg-
reg,regiment,L,連隊,664,もとは「統治・支配」の意。軍の単位になったのは1570年代から。,reg-
reg,real,L,スペインの旧銀貨,667,「本物の」real とは別語。スペイン語で「王の」。royal の仲間。,reg-
reg,rack,G,棚,670,「ちぎれ雲」の rack とは別語。原義は「引き伸ばしたもの」。皮を張って干す枠から。,reg-
reg,rectangular,L,長方形の,674,rect- は「まっすぐ」、-angular は「角」。まっすぐな角。,reg-+ank-
reg,escort,L,護衛,679,escort と correct は同じ語。「まっすぐに正す」が中身。,eghs+kom+reg-
reg,riches,L,富,689,もとは単数形の richesse。複数と勘違いされて s の形が残った。,reg-
reg,erect,L,直立した,690,原義は「上へまっすぐ立てる」。ラテン語では「傲慢な」の意もあった。,eghs+reg-
reg,Montreal,L,モントリオール,691,カナダの都市名。フランス語で「王の山」。1534年にカルティエが命名した。,men-2+reg-
reg,Friedrich,G,フリードリヒ,692,ドイツ語系の男の名で、原義は「平和をおさめる支配者」。,prī-+reg-
reg,reckon,G,計算する,705,古英語では「きちんと並べる」。並べて数えるから「計算」へ。,kom+reg-
reg,reckless,G,無謀な,715,reck は「気にかける」意の古い動詞。今はこの語にだけ残る。,reg-+leu-
reg,arrogant,L,傲慢な,716,語根は「手を差し出す」。自分のものだと求める姿が傲慢。,ad-+reg-
reg,regulator,L,調整者,726,1767年の米国では、地方の自警団も regulator と呼ばれた。,reg-
reg,Reich,G,ドイツ帝国,729,「まっすぐ導く」語根から。英語では1871〜1945年のドイツを指した。,reg-
reg,directory,L,案内,731,もとは教会の手引き書。電話帳を指すのは1908年から。,dwis-+reg-
reg,royalty,L,王族,732,王の特権から転じて、本の印税もroyaltyと呼ぶようになった。,reg-
reg,regimen,L,養生法,738,語根は「まっすぐ導く」。養生法の意が先で、統治の意は後。,reg-
reg,arrogance,L,傲慢,748,原義は「自分のものだと要求する」。手を差し出す動作が元。,ad-+reg-
reg,rectangle,L,長方形,749,昔の英語では「long square(長い正方形)」と呼んだ。,reg-+ank-
reg,enrich,L,質を高める,760,原義は「金持ちにする」。1945年から、同位体を「濃縮する」意味でも使う。,en+reg-
reg,surrogate,L,代理の,764,もとは司教や裁判官の代理を指した。代理母の意はずっと後。,upo+reg-
reg,redress,L,矯正,772,中身は「再びまっすぐにする」。服の dress と同じ語を含む。,re-+reg-
reg,Aubrey,L,オーブリー,779,人名。中身は「エルフの支配者」。米国では1973年ごろから女子名に。,albho-+reg-
reg,insurrection,L,反乱,806,原義は「立ち上がること」。反乱とは文字どおり体を起こすことだった。,en+upo+reg-
reg,outsourcing,L,外部調達,809,out(外へ)+ source(源)+ -ing から。source はラテン語 surgere(湧き上がる)で、surge と同じ語である。,ud-+reg-
reg,prerogative,L,特権,810,ローマで最初に投票する権利を得た組のこと。順番はくじ引き。,per1+reg-
reg,unruly,G,手に負えない,814,un が付く前の ruly「素直な」は消え、否定形だけが生き残った。,ne+reg-
reg,anorexia,Gr,食欲不振,821,語根は「手をまっすぐ伸ばす」。伸ばす欲が無いのが原義。,ne+reg-
reg,rectum,L,直腸,828,「まっすぐな腸」が原義。動物しか解剖しなかったガレノスの命名。,reg-
reg,interrogate,L,尋問する,832,「尋ねる」を表すラテン語 rogare は、もと「手を差し伸べる」。,en+reg-
reg,rectify,L,修正する,837,ラテン語で「まっすぐにする」。もとは病や行いを治すことを指した。,reg-+dhē-
reg,Dietrich,G,ディートリッヒ,845,人名。原義は「民を治める者」。Derrick はこの名の変わり形。,teutā-+reg-
reg,rake,G,くま手,850,語根は「まっすぐ」。まっすぐな木の歯を並べた道具の意とされる。,reg-
reg,regal,L,威厳がある,862,語根は「まっすぐ引く」。まっすぐ導く者が王だった。,reg-
reg,rector,L,牧師,863,元は「支配者」。神やローマ総督を指す語が18世紀に聖職者へ。,reg-
reg,Roderick,G,ロデリック,868,「名声において統べる」の意。スペイン語のロドリゴも同じ名。,kar-2+reg-
reg,derogatory,L,軽蔑的な,878,語源は「手を差し出して問う」。そこから値打ちを削り取る意味へ。,de-+reg-
reg,resourceful,L,資源に富んだ,878,resource は「再び湧き上がるもの」。1807年には「抜け目ない」の意。,re-+upo+reg-
reg,rectus,L,直筋,894,ラテン語で「まっすぐな」。rectangle と同じ語で、まっすぐ走る筋肉。,reg-
reg,regent,L,摂政,898,王の代理を指す語。王位の正統性を含ませないために使われた。,reg-
reg,insurgent,L,暴動の,906,ラテン語で「立ち上がる」。反乱とは、文字どおり起き上がること。,en+upo+reg-+uper
reg,Alaric,G,アラリック,914,人名。「すべてを統べる者」が名の意味。西ゴート族の男性名。,reg-
reg,forthright,G,率直な,946,「まっすぐ前へ」がそのまま語に。古英語では「ただちに」の意も。,per1+reg-
reg,interrogative,L,疑問の,948,「問う」ラテン語rogareは、もと「手を差し出す」動作だった。,en+reg-
reg,viceroy,L,副王,957,中身は「代理の王」。monarch に似たチョウも1877年からこの名。,weik-4+reg-
reg,outsource,L,外部調達する,972,1981年ごろ生まれた新語。仕事が海外へ流れる話とともに広まった。,ud-+reg-
reg,rectitude,L,正直,986,もとは「まっすぐさ」。人の心の正しさを指すのは1530年代から。,reg-
reg,incorrigible,L,矯正できない,995,14世紀には「治らない病」や「度を越した出費」にも使った語。,ne+kom+reg-
reg,Maratha,Sa,マラーター,1012,インド西部の民族と地域の名。サンスクリット語の「大きな国」から。,reg-
reg,rex,L,レックス,1018,ラテン語で「王」。巻き毛の突然変異を持つウサギの品種名として20世紀に使われはじめた。,reg-
reg,regency,L,摂政,1021,ラテン語の「治める」から。regal(王の)と同じ語で、王に代わって治める役を指す。,reg-
reg,rectilinear,L,直線の,1026,ラテン語で「まっすぐな線の」。rectangle や correct と同じ「まっすぐ」の語である。,reg-+lī̆no-
reg,bishopric,G,司教区,1030,bishop(司教)+ 古英語 rīce(支配・領域)から。後半はドイツ語 Reich、rich と同じ「支配」の語である。,epi+spek-+reg-
reg,ergo,L,それゆえに,1034,ラテン語で「その筋から」。結論の向きを指す語だった。,eghs+reg-
reg,rank,G,生い茂った、鼻につく,1045,「階級」の rank とは別語。古英語では「高慢な」だった。,reg-
reg,resurgent,L,よみがえる,1052,ラテン語で「下から立ち上がる」。surge と同じ語である。,re-+upo+reg-
reg,adroit,L,器用な,1058,フランス語で「右手のほうへ」。right と同じ語である。,ad-+reg-
